bulan	padi	t	trans
jan	2.784	1	2.71
feb	5.739	2	5.6
mar	9.678	3	9.46
apr	7.603	4	7.32
may	4.901	5	4.74
jun	4.490	6	4.43
jul	5.434	7	5.35
aug	5.373	8	5.21
sep	5.184	9	4.84
oct	3.325	10	2.66
nov	2.8	11	2.1
dec	1.89	12	2.13
jan	2.038	13	4.748
feb	3.632	14	9.232
mar	9.169	15	18.629
apr	8.937	16	16.257
may	4.367	17	9.107
jun	4.313	18	8.743
jul	4.641	19	9.991
aug	5.604	20	10.814
sep	4.235	21	9.075
oct	3.311	22	5.971
nov	2.653	23	4.753
dec	1.705	24	3.835
jan	1.62	25	6.368
feb	2.302	26	11.534
mar	6.303	27	24.932
apr	9.768	28	26.025
may	6.223	29	15.33
jun	3.572	30	12.315
jul	4.474	31	14.465
aug	5.799	32	16.613
sep	5.483	33	14.558
oct	4.259	34	10.23
nov	3.223	35	7.976
dec	1.622	36	5.457
jan	2.08	37	8.448
feb	4.06	38	15.594
mar	9.67	39	34.602
apr	7.77	40	33.795
may	3.95	41	19.28
jun	4.04	42	16.355
jul	5.51	43	19.975
aug	4.16	44	20.773
sep	4.27	45	18.828
oct	3.99	46	14.22
nov	2.87	47	10.846
dec	2.04	48	7.497
jan	2.46	49	10.908
feb	4.08	50	19.674
mar	9.54	51	44.142
apr	7.74	52	41.535
may	4.13	53	23.41
jun	4.36	54	20.715
jul	4.71	55	24.685
aug	4.08	56	24.853
sep	4.34	57	23.168
oct	4.13	58	18.35
nov	3.25	59	14.096
dec	1.93	60	9.427
